City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Port Elizabeth,ZA,2022-07-01 21:14:09,-33.918,25.5701,72.1,41,0,12.84,clear sky
247,Tabuk,PH,2022-07-01 21:14:10,17.4189,121.4443,74.93,92,100,0.85,overcast clouds
248,Hirara,JP,2022-07-01 21:14:11,24.8,125.2833,82.13,77,94,6.13,overcast clouds
249,Linguere,SN,2022-07-01 21:14:11,15.3953,-15.1193,92.03,29,58,18.43,broken clouds
250,San Quintin,MX,2022-07-01 21:14:12,30.4833,-115.95,75.49,64,0,17.13,clear sky
251,Leh,IN,2022-07-01 21:14:12,34.1667,77.5833,66.88,40,34,2.13,scattered clouds
252,Torbay,CA,2022-07-01 21:14:13,47.6666,-52.7314,65.28,82,37,5.99,scattered clouds
253,Matara,LK,2022-07-01 21:14:14,5.9485,80.5353,80.26,80,13,16.42,few clouds
254,Sioux Lookout,CA,2022-07-01 21:09:43,50.1001,-91.917,65.43,27,7,15.9,clear sky
255,Jadu,LY,2022-07-01 21:14:14,31.953,12.0261,87.39,19,0,8.68,clear sky
256,Killybegs,IE,2022-07-01 21:14:15,54.6333,-8.45,55.11,87,61,12.97,broken clouds
257,Srivardhan,IN,2022-07-01 21:14:15,18.0333,73.0167,80.15,86,95,12.3,light rain
258,Kupang,ID,2022-07-01 21:14:16,-10.1667,123.5833,76.82,89,99,11.81,overcast clouds
